rank,name_dic,count,chance
SR,菲娜,79,0.7900
SR,菲娜,79,0.7900
SR,菲娜,1,0.0100
R,希尔妲,418,4.1800
R,希尔妲,52,0.5200
R,希尔妲,2,0.0200
SSR,约兰,12,0.1200
SSR,约兰,1,0.0100
SR,伊娜,77,0.7700
SR,伊娜,65,0.6500
SSR,艾芙琳,27,0.2700
SSR,艾芙琳,1,0.0100
R,海芯六语,436,4.3600
R,海芯六语,50,0.500
SSR,谦,36,0.3600
SSR,谦,2,0.0200
SR,春日,68,0.6800
SR,春日,59,0.5900
R,普蕾西亚,325,3.2500
R,普蕾西亚,40,0.400
SSR,凛音,44,0.4400
SSR,凛音,2,0.0200
R,费加罗,304,3.0400
R,费加罗,28,0.2800
R,费加罗,1,0.0100
R,帝利亚,308,3.0800
R,帝利亚,28,0.2800
SR,依露,91,0.9100
SR,依露,85,0.8500
SR,依露,1,0.0100
R,十六夜,442,4.4200
R,十六夜,56,0.5600
SR,飞鸟,51,0.5100
SR,飞鸟,58,0.5800
SR,莫妮,56,0.5600
SR,莫妮,61,0.6100
SSR,圣姬,19,0.1900
SR,晓,98,0.9800
SR,晓,99,0.9900
SR,晓,2,0.0200
R,言叶,297,2.9700
R,言叶,33,0.3300
R,言叶,1,0.0100
R,星洛,460,4.600
R,星洛,58,0.5800
R,星洛,2,0.0200
SR,祐姬,71,0.7100
SR,祐姬,64,0.6400
SR,祐姬,1,0.0100
SR,周茹冰,64,0.6400
SR,周茹冰,55,0.5500
SR,周茹冰,1,0.0100
R,柠薇,324,3.2400
R,柠薇,35,0.3500
SR,狩,72,0.7200
SR,狩,54,0.5400
SR,狩,2,0.0200
SR,焱,54,0.5400
SR,焱,55,0.5500
SR,焱,1,0.0100
R,龙爱理,428,4.2800
R,龙爱理,52,0.5200
R,龙爱理,5,0.0500
R,休·缇奇,287,2.8700
R,休·缇奇,36,0.3600
R,休·缇奇,2,0.0200
SR,瓦莉拉,64,0.6400
SR,瓦莉拉,46,0.4600
SR,瓦莉拉,1,0.0100
SSR,路法斯,24,0.2400
SSR,路法斯,2,0.0200
SR,丽娅丝,70,0.700
SR,丽娅丝,79,0.7900
SR,丽娅丝,3,0.0300
R,里见,299,2.9900
R,里见,36,0.3600
R,里见,1,0.0100
R,酷罗蒂,300,3.00
R,酷罗蒂,49,0.4900
SR,安娜,72,0.7200
SR,安娜,59,0.5900
SR,安娜,1,0.0100
SR,艾思,104,1.0400
SR,艾思,90,0.900
R,赛丝,433,4.3300
R,赛丝,55,0.5500
R,赛丝,2,0.0200
SR,蒂利娅,89,0.8900
SR,蒂利娅,61,0.6100
SR,蒂利娅,1,0.0100
R,索米雅,315,3.1500
R,索米雅,35,0.3500
R,索米雅,2,0.0200
SR,幻天姬,78,0.7800
SR,幻天姬,55,0.5500
SR,幻天姬,1,0.0100
SR,克洛托,60,0.600
SR,克洛托,51,0.5100
SSR,初音未来,22,0.2200
SSR,赫列斯,22,0.2200
SSR,赫列斯,1,0.0100
SSR,洛林,28,0.2800
SSR,狄伊莎,24,0.2400
SR,苏菲娅,96,0.9600
SR,苏菲娅,63,0.6300
SR,苏菲娅,2,0.0200
SSR,露琪亚,22,0.2200
SSR,露琪亚,1,0.0100
R,幽魂莉莉,273,2.7300
R,幽魂莉莉,35,0.3500
R,幽魂莉莉,1,0.0100
R,妮娜,300,3.00
R,妮娜,36,0.3600
SSR,拉克西丝,28,0.2800
R,沙叶加,285,2.8500
R,沙叶加,44,0.4400
R,沙叶加,1,0.0100
