序号,SSR,最高等级/怪物等级,星级,最高星级,进化所需,可突破次数,名称,性别,职业,阵营,特殊类型,攻击范围,攻击类型,材质,默认视野,AI编号,是否Boss,是否大型,1级血量,1级物攻,1级魔攻,1级物防,1级魔防,1级速度,升级血量,升级物攻,升级魔攻,升级物防,升级魔防,升级速度,暴率,暴击抗性,命中,闪避,反击,反击次数,反击抗性,格挡,格挡抗性,伤害浮动范围,基础仇恨,稀有,占几个格子,可行动次数,每次行动衰减,移动范围,可移动高度,可攻击高度,可否斜向移动,穿越其他人,被其他人穿越,飞行,普攻技能,被动技能,防御技能,怒气技能1,怒气技能2,角色怒气上限,卡牌出场特效,卡面特效,升级类别,唯一编号,转换成碎片数,类型(0玩家卡牌；1普通小怪；2普通BOSS；3需要显示大血条的巨型BOSS）,宗属国,模型缩放,普攻寻路,必杀寻路,,效果命中,效果抵抗,暴击伤害,物理穿透,魔法穿透,可转职业,星石类型,选择类型,血条系数,弓手动作,反击技能
id,SSR,Level,Star,StarMax,StarUP,Breakthrough,Name,Sex,Career,Camp,Specialtype,AttackDist,AttackType,Material,Sight,Strategyid,BossEnemy,BigEnemy,HP_Lev1,Atk_Lev1,Matk_Lev1,Def_Lev1,Mdef_Lev1,Spd_lev1,HP_Levup,Atk_Levup,MAtk_Levup,Def_Levup,Mdef_Levup,Spd_Levup,CriPer,CriAnti,Hit,Dodge,Counter,CounterNo,CounterAnti,Parry,ParryAnti,DamageMinMax,Hate,Rare,Bulk,SpeedTime,SpeedDown,Move,MoveHeight,AttackHeight,MoveCross,Ghost,BeGhost,Fly,NormalSkill,PassiveSkill,DefendSkill,SuperSkill1,SuperSkill2,SuperSkill_MaxPoint,AppearEffect,CardEffect,LevelupType,UniqueID,fragment,Type,Nation,Zoom,AttackAI,SPAttackAI,,EffectHit,EffectMiss,CriDmg,AtkPenP,MatkPenP,CareerChange,StarStoneType,SelectType,HpBarUnit,ArcherATK,CounterSkill
int,int,int,int,int,array,int,int,int,int,int,array,int,int,array,int,int,int,int,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,array,array,array,array,array,array,array,int,int,int,int,int,int,float,int,int,,int,int,int,int,int,array,array,int,int,int,array
101,3,70,2,6,30;5000,0,11,2,11,21,0,1,1,0,100,7,0,0,138,38,0,46,38,66,31,8,0,10,8,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,1,0,0,0,0,0,1020,0,1,1,1,10,0,0,1,81110,91110,,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,0
102,3,70,3,6,60;20000,0,11,2,11,21,0,1,1,0,100,7,0,0,161,44,0,53,44,77,36,9,0,11,9,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,1,0,0,0,0,0,1020,0,1,1,1,40,0,0,1,81110,91110,,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,0
103,3,70,4,6,100;100000,0,11,2,11,21,0,1,1,0,100,7,0,0,184,51,0,61,51,88,42,11,0,13,11,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,1,0,0,0,0,0,1020,0,1,1,1,100,0,0,1,81110,91110,,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,0
104,3,70,5,6,200;200000,0,11,2,11,21,0,1,1,0,100,7,0,0,207,57,0,69,57,99,47,12,0,15,12,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,1,0,0,0,0,0,1020,0,1,1,1,200,0,0,1,81110,91110,,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,0
105,3,70,6,6,0;0,4,11,2,11,21,0,1,1,0,100,7,0,0,230,64,0,76,64,110,52,14,0,16,14,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,1,0,0,0,0,0,1020,0,1,1,1,400,0,0,1,81110,91110,,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,0
201,1,70,2,6,30;5000,0,21,1,11,21,0,1,1,0,100,7,0,0,105,33,0,41,35,60,24,7,0,9,7,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,100,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,2,10,0,0,1,81110,91110,,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,0
202,1,70,3,6,60;20000,0,21,1,11,21,0,1,1,0,100,7,0,0,123,39,0,48,41,70,28,8,0,10,9,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,100,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,2,40,0,0,1,81110,91110,,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,0
203,1,70,4,6,100;100000,0,21,1,11,21,0,1,1,0,100,7,0,0,141,45,0,55,47,80,32,9,0,12,10,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,100,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,2,100,0,0,1,81110,91110,,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,0
204,1,70,5,6,200;200000,0,21,1,11,21,0,1,1,0,100,7,0,0,158,50,0,62,52,90,36,11,0,13,11,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,100,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,2,200,0,0,1,81110,91110,,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,0
205,1,70,6,6,0;0,4,21,1,11,21,0,1,1,0,100,7,0,0,176,56,0,69,58,100,40,12,0,15,12,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,100,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,2,400,0,0,1,81110,91110,,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,0
301,2,70,2,6,30;5000,0,31,2,13,21,0,3,1,0,100,7,0,0,103,37,0,32,32,58,23,8,0,7,7,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,1,1,50,0,0,0,0,0,0,0,0,0,1020,0,1,1,3,10,0,0,1,81110,91110,,0,0,150,0,0,15;16;17;21;20,1|1;2|2;3|4;4|255,0,1,1,0
302,2,70,3,6,60;20000,0,31,2,13,21,0,3,1,0,100,7,0,0,120,43,0,38,38,68,27,9,0,8,8,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,1,1,50,0,0,0,0,0,0,0,0,0,1020,0,1,1,3,40,0,0,1,81110,91110,,0,0,150,0,0,15;16;17;21;20,1|1;2|2;3|4;4|255,0,1,1,0
303,2,70,4,6,100;100000,0,31,2,13,21,0,3,1,0,100,7,0,0,138,50,0,43,43,78,31,10,0,9,9,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,1,1,50,0,0,0,0,0,0,0,0,0,1020,0,1,1,3,100,0,0,1,81110,91110,,0,0,150,0,0,15;16;17;21;20,1|1;2|2;3|4;4|255,0,1,1,0
304,2,70,5,6,200;200000,0,31,2,13,21,0,3,1,0,100,7,0,0,155,56,0,48,48,88,35,12,0,10,10,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,1,1,50,0,0,0,0,0,0,0,0,0,1020,0,1,1,3,200,0,0,1,81110,91110,,0,0,150,0,0,15;16;17;21;20,1|1;2|2;3|4;4|255,0,1,1,0
305,2,70,6,6,0;0,4,31,2,13,21,0,3,1,0,100,7,0,0,172,62,0,54,54,98,39,13,0,11,11,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,1,1,50,0,0,0,0,0,0,0,0,0,1020,0,1,1,3,400,0,0,1,81110,91110,,0,0,150,0,0,15;16;17;21;20,1|1;2|2;3|4;4|255,0,1,1,0
401,3,70,2,6,30;5000,0,41,2,15,21,0,1,2,0,100,504,0,0,126,0,42,38,38,56,29,0,9,8,8,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,4,10,0,0,1,95040,95041,,0,0,150,0,0,29;30;31;34;32,1|1;2|2;3|4;4|255,1,1,0,0
402,3,70,3,6,60;20000,0,41,2,15,21,0,1,2,0,100,504,0,0,147,0,49,44,44,65,33,0,10,9,9,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,4,40,0,0,1,95040,95041,,0,0,150,0,0,29;30;31;34;32,1|1;2|2;3|4;4|255,1,1,0,0
403,3,70,4,6,100;100000,0,41,2,15,21,0,1,2,0,100,504,0,0,168,0,56,51,51,75,38,0,12,11,11,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,4,100,0,0,1,95040,95041,,0,0,150,0,0,29;30;31;34;32,1|1;2|2;3|4;4|255,1,1,0,0
404,3,70,5,6,200;200000,0,41,2,15,21,0,1,2,0,100,504,0,0,190,0,63,57,57,84,43,0,13,12,12,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,4,200,0,0,1,95040,95041,,0,0,150,0,0,29;30;31;34;32,1|1;2|2;3|4;4|255,1,1,0,0
405,3,70,6,6,0;0,4,41,2,15,21,0,1,2,0,100,504,0,0,211,0,70,64,64,94,48,0,15,14,14,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,4,400,0,0,1,95040,95041,,0,0,150,0,0,29;30;31;34;32,1|1;2|2;3|4;4|255,1,1,0,0
501,1,70,2,6,30;5000,0,51,2,12,23,0,1,1,0,100,7,0,0,96,36,0,32,33,67,22,8,0,7,7,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,5,10,0,0,1,81110,91110,,0,0,150,0,0,8;9;12;11;14,1|1;2|2;3|4;4|255,0,1,0,0
