序号,卡牌资源,最高等级/怪物等级,星级,最高星级,进化所需,可突破次数,名称,性别,职业,阵营,特殊类型,攻击范围,攻击类型,材质,默认视野,AI编号,是否Boss,是否大型,1级血量,1级物攻,1级魔攻,1级物防,1级魔防,1级速度,升级血量,升级物攻,升级魔攻,升级物防,升级魔防,升级速度,暴率,暴击抗性,命中,闪避,反击,反击次数,反击抗性,格挡,格挡抗性,伤害浮动范围,基础仇恨,稀有,占几个格子,可行动次数,每次行动衰减,移动范围,可移动高度,可攻击高度,可否斜向移动,穿越其他人,被其他人穿越,飞行,普攻技能,被动技能,防御技能,怒气技能1,怒气技能2,角色怒气上限,卡牌出场特效,卡面特效,升级类别,唯一编号,转换成碎片数,类型(0玩家卡牌；1普通小怪；2普通BOSS；3需要显示大血条的巨型BOSS）,宗属国,模型缩放,普攻寻路,必杀寻路,SSR,效果命中,效果抵抗,暴击伤害,物理穿透,魔法穿透,可转职业,星石类型,选择类型,血条系数,弓手动作,特殊AI,特殊进攻AI
id,Looks,Level,Star,StarMax,StarUP,Breakthrough,Name,Sex,Career,Camp,Specialtype,AttackDist,AttackType,Material,Sight,Strategyid,BossEnemy,BigEnemy,HP_Lev1,Atk_Lev1,Matk_Lev1,Def_Lev1,Mdef_Lev1,Spd_lev1,HP_Levup,Atk_Levup,MAtk_Levup,Def_Levup,Mdef_Levup,Spd_Levup,CriPer,CriAnti,Hit,Dodge,Counter,CounterNo,CounterAnti,Parry,ParryAnti,DamageMinMax,Hate,Rare,Bulk,SpeedTime,SpeedDown,Move,MoveHeight,AttackHeight,MoveCross,Ghost,BeGhost,Fly,NormalSkill,PassiveSkill,DefendSkill,SuperSkill1,SuperSkill2,SuperSkill_MaxPoint,AppearEffect,CardEffect,LevelupType,UniqueID,fragment,Type,Nation,Zoom,AttackAI,SPAttackAI,SSR,EffectHit,EffectMiss,CriDmg,AtkPenP,MatkPenP,CareerChange,StarStoneType,SelectType,HpBarUnit,ArcherATK,SpecialAI,SpecialATKAI
int,int,int,int,int,array,int,int,int,int,int,array,int,int,array,int,int,int,int,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,floatarray,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,array,array,array,array,array,array,array,int,int,int,int,int,int,float,int,int,int,int,int,int,int,int,array,array,int,int,int,array,array
101,1,80,2,6,30;5000,0,11,2,11,21,0,1,1,0,100,7,0,0,138,38,0,46,38,66,31,8,0,10,8,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,1,0,0,0,0,0,1020,0,1,1,1,10,0,0,1,81110,91110,3,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
102,1,80,3,6,60;20000,0,11,2,11,21,0,1,1,0,100,7,0,0,161,44,0,53,44,77,36,9,0,11,9,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,1,0,0,0,0,0,1020,0,1,1,1,40,0,0,1,81110,91110,3,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
103,1,80,4,6,100;100000,0,11,2,11,21,0,1,1,0,100,7,0,0,184,51,0,61,51,88,42,11,0,13,11,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,1,0,0,0,0,0,1020,0,1,1,1,100,0,0,1,81110,91110,3,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
104,1,80,5,6,200;200000,0,11,2,11,21,0,1,1,0,100,7,0,0,207,57,0,69,57,99,47,12,0,15,12,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,1,0,0,0,0,0,1020,0,1,1,1,200,0,0,1,81110,91110,3,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
105,1,80,6,6,0;0,4,11,2,11,21,0,1,1,0,100,7,0,0,230,64,0,76,64,110,52,14,0,16,14,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,1,0,0,0,0,0,1020,0,1,1,1,400,0,0,1,81110,91110,3,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
201,2,80,2,6,30;5000,0,21,1,11,21,0,1,1,0,100,7,0,0,109,36,0,41,35,60,25,7,0,9,7,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,100,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,2,10,0,0,1,81110,91110,1,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
202,2,80,3,6,60;20000,0,21,1,11,21,0,1,1,0,100,7,0,0,127,42,0,48,41,70,29,9,0,10,9,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,100,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,2,40,0,0,1,81110,91110,1,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
203,2,80,4,6,100;100000,0,21,1,11,21,0,1,1,0,100,7,0,0,145,48,0,55,47,80,33,10,0,12,10,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,100,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,2,100,0,0,1,81110,91110,1,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
