id,text
0,
1,凛音
11,凛音
12,凛音
13,凛音
14,凛音
15,凛音
21,星洛
22,星洛
23,星洛
24,星洛
25,星洛
31,丽娅丝
32,丽娅丝
33,丽娅丝
34,丽娅丝
35,丽娅丝
41,初音未来
42,初音未来
43,初音未来
44,初音未来
45,初音未来
51,沙叶加
52,沙叶加
53,沙叶加
54,沙叶加
55,沙叶加
61,春日
62,春日
63,春日
64,春日
65,春日
71,晓
72,晓
73,晓
74,晓
75,晓
81,瓦莉拉
82,瓦莉拉
83,瓦莉拉
84,瓦莉拉
85,瓦莉拉
91,幻天姬
92,幻天姬
93,幻天姬
94,幻天姬
95,幻天姬
101,妮娜
102,妮娜
103,妮娜
104,妮娜
105,妮娜
111,静御前
112,静御前
113,静御前
114,静御前
115,静御前
121,圣姬
122,圣姬
123,圣姬
124,圣姬
125,圣姬
131,休·缇奇
132,休·缇奇
133,休·缇奇
134,休·缇奇
135,休·缇奇
141,索米雅
142,索米雅
143,索米雅
144,索米雅
145,索米雅
151,幽魂莉莉
152,幽魂莉莉
153,幽魂莉莉
154,幽魂莉莉
155,幽魂莉莉
161,海芯六语
162,海芯六语
163,海芯六语
164,海芯六语
165,海芯六语
171,莫妮
172,莫妮
173,莫妮
174,莫妮
175,莫妮
181,龙爱理
182,龙爱理
183,龙爱理
184,龙爱理
185,龙爱理
191,蒂利娅
192,蒂利娅
193,蒂利娅
194,蒂利娅
195,蒂利娅
201,小爱
202,小爱
203,小爱
204,小爱
205,小爱
211,伊娜
212,伊娜
213,伊娜
214,伊娜
215,伊娜
221,飞鸟
222,飞鸟
223,飞鸟
224,飞鸟
225,飞鸟
231,焱
232,焱
233,焱
234,焱
235,焱
241,赛丝
242,赛丝
243,赛丝
244,赛丝
245,赛丝
251,露琪亚
252,露琪亚
253,露琪亚
254,露琪亚
255,露琪亚
261,男保镖
262,男保镖
263,男保镖
264,男保镖
265,男保镖
271,十六夜
272,十六夜
273,十六夜
274,十六夜
275,十六夜
281,狩
282,狩
283,狩
284,狩
285,狩
291,艾思
292,艾思
293,艾思
294,艾思
295,艾思
301,苏菲娅
302,苏菲娅
303,苏菲娅
304,苏菲娅
305,苏菲娅
311,约兰
312,约兰
313,约兰
314,约兰
315,约兰
321,依露
322,依露
323,依露
324,依露
325,依露
331,柠薇
332,柠薇
333,柠薇
334,柠薇
335,柠薇
341,安娜
342,安娜
343,安娜
344,安娜
345,安娜
351,狄伊莎
352,狄伊莎
353,狄伊莎
354,狄伊莎
355,狄伊莎
361,希尔妲
362,希尔妲
363,希尔妲
364,希尔妲
365,希尔妲
371,帝利亚
372,帝利亚
373,帝利亚
374,帝利亚
375,帝利亚
381,周茹冰
382,周茹冰
383,周茹冰
384,周茹冰
385,周茹冰
391,酷罗蒂
392,酷罗蒂
393,酷罗蒂
394,酷罗蒂
395,酷罗蒂
401,洛林
402,洛林
403,洛林
404,洛林
405,洛林
411,菲娜
412,菲娜
413,菲娜
414,菲娜
415,菲娜
421,费加罗
422,费加罗
423,费加罗
424,费加罗
425,费加罗
431,祐姬
432,祐姬
433,祐姬
434,祐姬
435,祐姬
441,里见
442,里见
443,里见
444,里见
445,里见
451,赫列斯
452,赫列斯
453,赫列斯
454,赫列斯
455,赫列斯
461,岚
462,岚
463,岚
464,岚
465,岚
471,普蕾西亚
472,普蕾西亚
473,普蕾西亚
474,普蕾西亚
475,普蕾西亚
481,言叶
482,言叶
483,言叶
484,言叶
485,言叶
491,路法斯
492,路法斯
493,路法斯
494,路法斯
495,路法斯
501,克洛托
502,克洛托
503,克洛托
504,克洛托
505,克洛托
511,拉克西丝
512,拉克西丝
513,拉克西丝
514,拉克西丝
515,拉克西丝
521,谦
522,谦
523,谦
524,谦
525,谦
551,希德尼娅
552,希德尼娅
553,希德尼娅
554,希德尼娅
555,希德尼娅
561,库斯里
562,库斯里
563,库斯里
564,库斯里
565,库斯里
571,阿尔杰塔
572,阿尔杰塔
573,阿尔杰塔
574,阿尔杰塔
575,阿尔杰塔
581,杰兰特
582,杰兰特
583,杰兰特
584,杰兰特
585,杰兰特
591,伊丽莎白
592,伊丽莎白
593,伊丽莎白
594,伊丽莎白
595,伊丽莎白
621,艾芙琳
622,艾芙琳
623,艾芙琳
624,艾芙琳
625,艾芙琳
631,多萝西
632,多萝西
633,多萝西
634,多萝西
635,多萝西
641,埃尔斯
642,埃尔斯
643,埃尔斯
644,埃尔斯
645,埃尔斯
651,萝丝
652,萝丝
653,萝丝
654,萝丝
655,萝丝
661,雷
662,雷
663,雷
664,雷
665,雷
2001,渎神者守卫
2002,幽魂镇压者
2003,往昔幽魂
2009,征天者的巡狩
2010,魔化水晶
2011,魔化水晶
2012,吞天兽
2013,卢迦尔翼豹
2015,暗影魔龙
2016,希留利亚
2018,勃伦
2019,告死天使
2023,魔能机甲
2028,热砂国王
2031,露西安
2032,亚龙
2036,木箱子
2038,凤凰
2042,迷你威尔
2047,暗影魔裔
2048,能源塔
2050,柴王
2100,渎神魔剑士
2102,渎神魔哨兵
2104,界城混混
2105,凶恶的混混
2106,麦格亚斯居民
2107,麦格亚斯贫民
2108,霸道的混混
2109,年轻镇民
2110,年长镇民
2200,渎神邪术师
2600,渎神献祭者
2800,星石盾铠兵
2802,界城流氓
2900,星石魔锤兵
2901,星石巨剑兵
2902,星石魔斧兵
2903,星石魔锤兵
2904,界城一霸·达冈
3400,征天者的巡猎
3402,征天者的巡戒
3600,星石魔像兵
3700,魔化妖虫
3800,魔化雷犬
5007,
6001,魔化蝙蝠
6002,魔化蝙蝠
6003,魔化蝙蝠
6004,异能蝙蝠
6005,异能蝙蝠
6006,异能蝙蝠
6007,饥饿的魔化蝙蝠
6010,魔化犬
6011,魔化猎犬
6012,沙漠土狼
6013,沙之白狼
6040,辉耀盾卫
6042,辉耀骑士
6043,辉耀长枪兵
6050,辉耀女骑士
6052,辉耀女枪兵
6060,光耀吟颂者
6062,光耀仪祭师
6063,光耀执行者
6070,教皇
6080,渎神刺客
6090,残石污染者
6091,残石吞噬者
6100,兽人刀盾手
6101,兽人弓箭手
6102,兽人刺客
6110,鬼武士
6111,武士宗师
6112,红发浪客
6113,野太刀浪客
6114,坚铠鬼武士
6120,居合浪人
6121,居合武士
6130,薙刀足轻
6131,兽耳薙刀兵
6132,兽耳狙击手
6133,鬼兵卫
6140,窃贼硕鼠
6141,撕裂硕鼠
6142,掠夺硕鼠
6143,抚育硕鼠
6144,硕鼠之王
6150,神谕捍卫者
6151,神谕惩罚者
6152,神谕追击者
6153,神谕吟唱者
6170,克尔伯鲁斯
6180,星石梦魇兽
6181,星石梦魇兽
6182,星石梦魇兽
6183,星石梦魇兽
6184,星石梦魇兽
6190,波哥达
6191,野蛮波哥达
6192,恶鬼波哥达
6200,警棍护卫
6201,砍刀护卫
6202,持枪护卫
6203,护卫队长
6210,铁拳一号
6211,速射机枪
6212,星石炮台
6220,枪执事
6221,剑执事
6222,皮鞭执事长
6223,刺剑执事长
6230,分解实验助手
6231,解剖实验助手
6232,米萨亚博士
6240,见习巫女
6242,薙刀巫女
6243,鬼巫女
6244,葬花巫女
6250,突忍
6251,苍碧中忍
6252,青之下忍
6253,风断上忍
6260,流沙战士
6261,流沙强盗
6262,流沙弩兵
6263,皇家巫师
6264,皇家侍卫
6265,萨拉赫法特
6266,佣兵团长
6270,尾勾沙蝎
6271,铁鳌沙蝎
6272,毒液沙蝎
6273,流沙统御者
6280,砂石毁灭者
6290,星石舔舐者
6291,星石异变者
6292,星石寄生者
6293,星石感染者
6294,星石追踪者
6300,凶暴鳐鱼
6301,狂躁鳐鱼
6302,狂暴鳐鱼
6303,变异鳐鱼
