副本ID(主线支线挑战为类型ID+世界ID+2位序号，其他为类型ID+4位序号)  探索是11开头的,副本类型（1：主线；2：挑战；3：活动副本；4:多人副本；5：PVP调用；6；庇护所调用；7：支线副本；8：亲密度副本；9：限时活动副本; 10:守护试炼 11：探索副本 12:转职副本 14：公会矿洞 15:幻卡 16:百层塔 17：公会战 21:天守阁）,世界ID,副本名称,副本等级,副本经验,角色经验,副本消耗类型（消耗类型ID）,进入副本消耗,完成副本消耗,副本限制人数,副本阵容ID,前置副本,解锁等级,对应的主线本ID,星级条件描述,星级条件脚本,星级条件奖励类型,星级条件奖励数量,Lua脚本,布阵摄像机,战斗摄像机,结算展示摄像机,结算摄像机,影子摄像机,副本攻略,副本攻略概述（12字）,限制类型1(0：无限制1：限定某些角色登场2：限定某职业角色登场3：限定等级以上角色登场4：限定某性别角色登场5：限定某势力角色登场),限制参数1,限制类型2,限制参数2,副本技能(玩家队伍光环技能),副本特殊要求ICON,副本特殊要求说明,进入布阵时触发的剧情,结算完成后战斗场景触发的剧情,结算完成后中地图触发的剧情,限制次数,是否可以扫荡(1可以0不可以）,亲密度,副本职业,副本战斗力,回合耗尽(0:不显示 1：回合耗尽后，战斗失败 :2：回合耗尽后，战斗胜利）,副本金币和boss伤害挂钩（X+伤害^y*z)，伤害不超过boss血量R,公会战防御队伍出站人数
id,DupType2,WorldID,DupName,Difficulity,Exp,FormationExp,PayType,BeforeNumber,AfterNumber,NumberLimit,DupLineupID,PreDup,ClearLimit1,UnlockDup,StarCondition,StarConditionScript,StarConditionGift,StarConditionGiftNumber,Lua,StartCamera,BattleCamera,EndCamera,EndCamera2,ShadowCamera,DupTips1,DupTips2,LimitType1,Limit1,LimitType2,Limit2,DupSkill,DupTipsIcon,DupTipsDisstr,Story1,Story2,Story3,LimitTimes,sweep,Intimacy,DupCareer,Difficulity2,TurnShow,BossDamageBonusParam,DefendPlayerNum
int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,array,array,array,array,string,arraystring,arraystring,arraystring,arraystring,string,int,int,int,array,int,array,array,arraystring,array,int,int,int,int,int,int,array,int,int,floatarray,int
10001,1,0,100011,1,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep00_01.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,3000001,,0,0,0,0,0,0,0,0,302,1,0,0
10002,1,0,100021,1,0,0,4,0,0,1,0,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep00_02.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,3000001,,0,990,993,0,0,0,0,0,302,1,0,0
10101,6,1,101011,1,50,0,4,0,5,3,1,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_01.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,3000001;3000002;3000005,,0,0,0,0,0,0,1,12,302,1,0,0
10102,1,1,101021,1,50,10,4,0,5,3,1,0,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_01_01.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,3000001;3000002;3000005,,0,1,2,0,0,0,1,12,302,1,0,0
10103,1,1,101031,2,50,10,4,0,5,3,1,10102,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_01_02.lua,,,,,ShadowCamera2,0,101013,0,0,0,0,3000001;3000002;3000005,,0,3,4,0,0,0,1,12;13,420,1,0,0
10104,1,1,101041,3,50,20,4,2,3,3,1,10103,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_02.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,3000001;3000005,buzhen_icon_8,1527,5,0,0,0,0,1,11;13,328,1,0,0
10105,1,1,101051,3,50,20,4,2,3,3,1,10104,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_02_01.lua,,,,,ShadowCamera1,0,101013,0,0,0,0,3000001;3000005,buzhen_icon_8,1527,6,7,0,0,0,1,12;13,328,1,0,0
10106,1,1,101061,4,50,20,4,2,3,3,1,10105,0,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep01_02_02.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,3000001;3000005,buzhen_icon_10;buzhen_icon_8,1525;1527,8,9,0,0,0,1,11;15,455,1,0,0
