序号,屏蔽字
Id,name
int,string
1,国办发
2,中办发
3,腐败中国
4,社会主义灭亡
5,打倒中国
6,灭亡中国
7,亡党亡国
8,粉碎四人帮
9,激流中国
10,特供
11,特贡
12,特共
13,zf大楼
14,殃视
15,贪污腐败
16,强制拆除
17,形式主义
18,政治风波
19,上海帮
20,北京帮
21,清华帮
22,红色贵族
23,权贵集团
24,河蟹社会
25,喝血社会
26,九风
27,9风
28,十7大
29,17da
30,九学
31,9学
32,四风
33,4风
34,双规
35,南街村
36,最淫官员
37,警匪
38,官匪
39,独夫民贼
40,城管暴力执法
41,强制捐款
42,毒豺
43,一党执政
44,专制政权
45,宪法法院
46,胡平
47,苏晓康
48,贺卫方
49,谭作人
50,焦国标
51,万润南
52,张志新
53,高勤荣
54,王炳章
55,高智晟
56,司马璐
57,刘晓竹
58,刘宾雁
59,魏京生
60,林昭的灵魂
61,别梦成灰
62,谁是新中国
63,讨伐中宣部
64,异议人士
65,民运人士
66,启蒙派
67,选国家主席
68,民一主
69,min主
70,民竹
71,民珠
72,民猪
73,chinesedemocracy
74,大赦国际
75,国际特赦
76,da选
77,投公
78,公头
79,宪政
80,平反
81,党章
82,维权
83,昝爱宗
84,宪章
85,08宪
86,08xz
87,中国公民
88,抿主
89,敏主
90,人拳
91,人木又
92,人quan
93,renquan
94,中国人权
95,中国的人权
96,中国新民党
97,群体事件
98,群体性事件
99,上中央
100,去中央
101,讨说法
102,请愿
103,请命
104,公开信
105,联名上书
106,万人大签名
107,万人骚动
108,截访
109,shangfang
110,信访
111,访民
112,集合
113,组织集体
114,静zuo
115,jing坐
116,示wei
117,you行
118,油行
119,游xing
120,youxing
121,反party
122,抗议
123,亢议
124,抵制
125,低制
126,底制
127,di制
128,抵zhi
129,dizhi
130,boycott
131,血书
132,焚烧中国国旗
133,baoluan
134,流血冲突
135,出现暴动
136,发生暴动
137,引起暴动
138,baodong
139,灭共
140,杀毙
141,罢工
142,霸工
143,罢考
144,罢餐
145,霸餐
146,罢参
147,罢饭
148,罢吃
149,罢食
150,罢课
151,罢ke
152,霸课
153,ba课
154,罢教
155,罢学
156,罢运
157,网特
158,网评员
159,网络评论员
160,五毛党
161,五毛们
162,5毛党
163,戒严
164,jieyan
165,jie严
166,戒yan
167,8的平方事件
168,知道64
169,八九年
170,贰拾年
171,2o年
172,20和谐年
173,贰拾周年
174,六河蟹四
175,六百度四
176,六和谐四
177,陆四
178,198964
179,5月35
180,89年春夏之交
181,64惨案
182,64时期
183,64运动
184,4事件
185,四事件
186,北京风波
187,学chao
188,xuechao
189,学百度潮
190,门安天
191,天按门
192,坦克压大学生
193,民主女神
194,历史的伤口
195,北高联
196,维多利亚公园
197,thegateofheavenlypeace
198,bloodisonthesquare
199,为了忘却的纪念
200,血洗京城
201,四二六社论
202,沈彤
203,封从德
204,王超华
205,王维林
206,吾尔开希
207,吾尔开西
208,侯德健
209,阎明复
210,蒋捷连
211,辛灏年
212,蒋彦永
213,严家其
214,陈一咨
215,中华局域网
216,党的喉舌
217,互联网审查
218,当局严密封锁
219,新闻封锁
220,封锁消息
221,爱国者同盟
222,网络封锁
223,金盾工程
224,gfw
225,自由门
226,何清涟
227,中国的陷阱
228,汪兆钧
229,维基百科
230,纽约时报
231,世界日报
232,基督教科学箴言报
233,星岛日报
234,美联社
235,中央社
236,雅虎香港
237,英国金融时报
238,自由亚洲
239,中央日报
240,自由时报
241,中国时报
242,反分裂
243,威胁论
244,左翼联盟
245,保钓组织
246,主权
247,弓单
248,火乍
249,木仓
250,石肖
251,核蛋
252,步qiang
253,bao炸
254,爆zha
255,baozha
256,zha药
257,zha弹
258,炸dan
259,炸yao
260,zhadan
261,zhayao
262,hmtd
263,三硝基甲苯
264,六氟化铀
265,炸药配方
266,弹药配方
267,炸弹配方
268,皮箱炸弹
269,火药配方
270,人肉炸弹
271,解放军
272,兵力部署
273,军转
274,军事社
275,8341部队
276,第21集团军
277,七大军区
278,7大军区
279,北京军区
280,沈阳军区
281,济南军区
282,成都军区
283,广州军区
284,南京军区
285,兰州军区
286,颜色革命
287,规模冲突
288,恐怖分子
289,三股势力
290,印尼屠华
291,印尼事件
292,蒋公纪念歌
293,mayingjiu
294,李天羽
295,苏贞昌
